host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,6,5053,4.74,4.84,4.88,4.82,4.75,4.76,4.65,2,1125,1.56
within an hour,f,t,Room in bed and breakfast,Hotel room,t,1,0.77,2,8024,4.74,4.64,4.38,4.88,4.83,4.95,4.62,1,101,0.98
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,10,3301,4.9,5,4.9,5,5,5,4.9,1,1125,2.97
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,789,4.86,4.91,4.87,4.88,4.9,4.79,4.84,2,1125,1.1
within an hour,t,t,Private room in rental unit,Private room,t,1,0.99,2,310,4.88,4.94,4.72,4.98,4.95,4.96,4.87,1,180,1.1
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,3,1157,4.92,5,5,5,4.92,5,4.92,1,1125,0.28
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,0.98,4,785,4.72,4.96,4.94,5,4.94,4.96,4.87,3,120,1.23
a few days or more,f,f,Private room in home,Private room,f,0,0.5,1,300,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,365,1.1
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,5,2594,4.92,4.95,4.87,4.96,4.96,4.96,4.9,3,1125,2.48
within an hour,f,t,Entire condo,Entire home/apt,t,0.96,1,3,1325,4.68,4.75,4.68,4.75,4.67,4.96,4.65,1,1125,4.28
Desconocido,f,t,Private room in rental unit,Private room,f,0.9,0.57,1,200,4.7,5,4.8,5,5,4.8,5,1,180,0.23
within an hour,f,t,Private room in rental unit,Private room,f,1,1,1,250,4.63,4.88,4.38,5,5,4.63,4.5,1,90,0.18
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,0.99,4,1854,4.76,4.86,4.76,4.97,4.97,4.72,4.79,2,30,0.7
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,4,951,4.69,4.77,4.54,4.85,4.65,5,4.73,2,999,0.6
within a few hours,f,t,Entire home,Entire home/apt,f,1,0.96,6,1450,5,5,4.98,4.98,5,4.94,4.98,2,60,1.14
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,6,4460,4.84,4.8,4.98,4.83,4.83,4.76,4.79,2,1125,1.83
within an hour,f,t,Private room in rental unit,Private room,t,0.98,1,2,545,4.57,4.66,4.75,4.92,4.75,4.93,4.66,1,365,1.96
within an hour,f,t,Private room in rental unit,Private room,t,0.98,1,3,763,4.55,4.64,4.67,4.89,4.76,4.95,4.65,1,365,1.24
Desconocido,f,f,Private room in rental unit,Private room,t,0.9,1,1,3000,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,1125,1.1
within an hour,t,t,Private room in rental unit,Private room,f,1,0.92,2,482,4.88,4.82,4.82,5,4.94,5,4.71,2,1125,0.39
