host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within a few hours,f,t,Entire condo,Entire home/apt,f,0.9,0.43,4,1247.4,3.38,3.75,2.88,3.63,3.75,4.63,3.38,2,1125,0.37
a few days or more,f,f,Entire rental unit,Entire home/apt,f,0.29,1,2,3850,3.33,3.33,3.33,2.33,2.67,3.67,3.67,1,1125,0.06
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,2,863.17,4.77,4.87,4.92,4.97,5,4.8,4.78,1,120,1.24
within a few hours,Desconocido,f,Private room in rental unit,Private room,f,1,1,3,1490.72,4.45,4.55,4.52,4.41,4.34,4.72,4.38,1,1125,0.63
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,1168.86,4.62,4.73,4.62,4.86,4.83,4.95,4.6,2,1125,3.69
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,6,1386,4.89,4.89,4.89,5,5,4.78,4.96,3,1125,0.56
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,9,2597.98,4.77,4.74,4.62,4.86,4.81,4.89,4.74,2,30,2.34
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,6,2959.11,5,4.99,5,5,5,4.93,4.96,1,1125,2.68
within a day,t,t,Entire rental unit,Entire home/apt,f,1,0.94,2,1298.22,4.92,4.92,4.72,4.89,4.97,4.89,4.83,2,30,0.75
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,5,1781.78,4.93,4.98,4.95,4.99,4.98,4.81,4.86,1,1125,3.54
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1652.42,2.5,4.5,2.5,5,3,5,2.5,2,1125,0.16
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1290.52,4.81,4.89,4.71,4.97,4.97,4.84,4.81,1,366,1.3
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,1613.15,4.92,4.92,4.92,4.8,4.64,4.96,4.76,2,1125,0.53
Desconocido,Desconocido,t,Private room in rental unit,Private room,f,1,0.9,1,500.5,4.8,4.8,4.4,5,4.8,5,4.6,2,90,0.11
