host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,Desconocido,t,Entire home,Entire home/apt,f,1,0.9,6,2592.31,4.93,4.93,4.64,4.93,4.86,4.86,4.71,28,365,0.76
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,0.96,4,3779.92,4.95,4.95,4.95,4.93,5,4.96,4.75,28,365,0.7
within an hour,t,t,Entire condo,Entire home/apt,f,1,1,4,2528.46,5,5,5,4.71,5,5,4.86,28,365,0.53
within an hour,t,t,Entire home,Entire home/apt,t,1,0.97,6,3601.14,4.78,4.7,4.52,4.93,4.89,4.89,4.63,28,1125,0.7
within an hour,t,t,Private room in home,Private room,f,1,0.98,3,2362.45,5,5,5,4.97,5,5,4.91,28,1125,0.7
within a few hours,t,t,Entire home,Entire home/apt,f,1,1,2,1008.83,5,5,4.57,5,4.86,4.86,4.29,28,365,0.48
within an hour,t,t,Entire guest suite,Entire home/apt,f,1,1,2,2349.68,4.95,4.91,4.95,4.97,5,4.72,4.83,28,31,0.7
within a few hours,t,t,Entire condo,Entire home/apt,f,1,0.99,3,3805.46,4.95,4.94,4.99,4.85,4.98,5,4.84,28,1125,0.7
within an hour,t,t,Private room in home,Private room,f,1,0.99,2,996.06,4.86,4.94,4.89,4.99,4.9,4.86,4.86,28,365,0.7
within an hour,t,t,Private room in home,Private room,f,1,0.99,3,1072.68,4.91,4.94,4.79,4.98,4.91,4.85,4.89,28,365,0.7
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,0.9,2,1468.55,5,4.67,4.67,4.33,4.67,5,5,28,360,0.2
Desconocido,f,t,Entire condo,Entire home/apt,f,0.9,1,2,1723.95,5,5,4.8,5,5,5,5,28,1125,0.28
within a few hours,f,t,Private room in condo,Private room,f,1,0.67,2,766.2,5,5,5,5,5,5,5,28,1125,0.7
within a few hours,f,f,Entire vacation home,Entire home/apt,f,1,0.86,2,957.75,4.8,4.8,4.6,5,4.8,4.8,5,28,181,0.34
within an hour,f,t,Private room in home,Private room,t,0.93,0.93,2,1455.78,4.4,4.4,4.25,4.68,4.65,4.69,4.35,28,365,0.7
within a few hours,t,t,Entire guest suite,Entire home/apt,f,1,0.87,2,2720.01,4.85,4.76,4.79,4.91,4.94,4.82,4.74,28,730,0.7
